file depth swaps qubits
ham_tfim_graph_2D_triag_pbc_qubitnodes_Lx_13_Ly_13_h_0_1.qasm 1400 3075 91
ham_BH_D_1_d_4_bh_graph_1D_grid_pbc_qubitnodes_Lx_46_U_2_enc_gray_d_4.qasm 9878 2272 92
ham_BH_D_2_d_4_bh_graph_2D_grid_nonpbc_qubitnodes_Lx_7_Ly_7_U_70_enc_gray_d_4.qasm 17496 4622 98
ham_FH_D_1_fh_graph_1D_grid_pbc_qubitnodes_Lx_50_U_2_enc_jw.qasm 1368 3354 100
ham_TSP_Ncity_10_tsp_prob_st70_Ncity_10_enc_unary.qasm 2098 7270 100
ham_TSP_Ncity_10_tsp_prob_pr76_Ncity_10_enc_unary.qasm 2229 7396 100
ham_BH_D_2_d_4_bh_graph_2D_triag_pbc_qubitnodes_Lx_10_Ly_10_U_30_enc_stdbinary_d_4.qasm 40899 13525 100
ham_ham_unary_color02_queen13_13_k_4_queen13_13_n_28_rinst_0.qasm 2664 7305 112
ham_ham_gray_color02_will199gpia_k_3_will199gpia_n_60_rinst_8.qasm 6247 10351 120
ham_BH_D_1_d_4_bh_graph_1D_grid_pbc_qubitnodes_Lx_60_U_10_enc_stdbinary_d_4.qasm 15535 1864 120
ham_BH_D_2_d_4_bh_graph_2D_triag_pbc_qubitnodes_Lx_3_Ly_22_U_70_enc_unary_d_4.qasm 89525 56489 132
ham_ham_gray_color02_1_fullins_5_k_5_1_fullins_5_n_48_rinst_7.qasm 44426 55299 144
ham_BH_D_2_d_4_bh_graph_2D_triag_nonpbc_qubitnodes_Lx_11_Ly_11_U_100_enc_gray_d_4.qasm 41540 11071 156
ham_FH_D_1_fh_graph_1D_grid_nonpbc_qubitnodes_Lx_90_U_2_enc_jw.qasm 1810 9195 180
ham_tfim_graph_2D_triag_pbc_qubitnodes_Lx_19_Ly_19_h_0_5.qasm 4595 10933 190
ham_heis_graph_2D_grid_nonpbc_qubitnodes_Lx_5_Ly_58_h_2.qasm 698 1436 290
ham_FH_D_2_fh_graph_2D_triag_nonpbc_qubitnodes_Lx_16_Ly_16_U_4_enc_bk.qasm 69902 117651 306
ham_FH_D_1_fh_graph_1D_grid_pbc_qubitnodes_Lx_160_U_12_enc_parity.qasm 36762 62499 320
ham_tfim_graph_2D_triag_nonpbc_qubitnodes_Lx_3_Ly_160_h_0_1.qasm 17508 57278 324
ham_tfim_graph_2D_grid_nonpbc_qubitnodes_Lx_19_Ly_19_h_5.qasm 4611 11180 361
ham_heis_graph_2D_grid_pbc_qubitnodes_Lx_2_Ly_185_h_0_5.qasm 2600 1949 370
ham_FH_D_2_fh_graph_2D_grid_pbc_qubitnodes_Lx_2_Ly_105_U_8_enc_bk.qasm 70384 150143 420
ham_ham_unary_color02_ash608gpia_k_3_ash608gpia_n_160_rinst_1.qasm 24670 71120 480
ham_heis_graph_2D_grid_nonpbc_qubitnodes_Lx_4_Ly_133_h_0_1.qasm 1418 2006 532
ham_tfim_graph_2D_grid_pbc_qubitnodes_Lx_4_Ly_148_h_6.qasm 4555 7818 592
ham_FH_D_2_fh_graph_2D_grid_pbc_qubitnodes_Lx_5_Ly_72_U_0_enc_parity.qasm 40052 0 720
ham_heis_graph_2D_grid_pbc_qubitnodes_Lx_4_Ly_190_h_0.qasm 7943 10631 760
ham_heis_graph_2D_triag_nonpbc_qubitnodes_Lx_40_Ly_40_h_0_1.qasm 20195 55176 861
ham_heis_graph_2D_grid_nonpbc_qubitnodes_Lx_5_Ly_186_h_0_5.qasm 2176 4588 930
ham_heis_graph_2D_grid_pbc_qubitnodes_Lx_5_Ly_186_h_3.qasm 12284 18115 930
